Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
A-,D+,E,B,C,B+,A-,A-,A,D+,A,B,E,D,E,A,D,A,B-,E,B-,A-,B+,B-,C-,B,"Healthcare, Programming, Technology","Logical Thinking, Programming, Problem Solving, Leadership, Analytical Skills",1
B,B-,B-,D-,C-,D,C-,C,B+,D,C+,D-,D+,B,B+,C-,C-,B+,A-,B+,D-,D+,D,B-,B,B,"Programming, Debating, Management","Programming, Problem Solving",1
A,A-,A-,A,E,C-,D-,B,D+,D,B,D+,B-,D-,D,D-,A-,D-,C,D+,B-,B-,B+,D+,B+,D+,"Art, Programming","Programming, Logical Thinking, Empathy, Problem Solving",1
B,A-,B-,B,C,D+,C-,A-,A-,D-,B-,D,B-,D+,D+,B,C-,B,C+,B-,C-,D,C-,D,B,B,"Art, Programming","Manual Dexterity, Programming, Teamwork, Problem Solving",1
C,A,B+,B+,A,D+,D+,B,B+,C-,D,B-,C-,D,D-,D+,D+,C-,C,B,B,E,B,D+,D-,C+,"Logical Thinking, Music, Building things, Management","Research, Programming, Empathy, Problem Solving",1
A,B-,D,C-,A-,D-,C-,B,E,D-,D,A,E,C-,E,A-,C+,C-,B,A,B-,C,D-,E,A,C,"Music, Healthcare, Programming, Management","Logical Thinking, Problem Solving, Teamwork",1
A-,C,D-,D+,D,D,B+,B+,C-,E,B,A-,C-,B+,D-,B-,A,D,E,D-,C,A,A,D+,A-,D-,"Programming, Sports, Healthcare, Technology","Logical Thinking, Programming, Teamwork, Research, Leadership",1
B+,C-,D-,C+,D-,A,B+,A-,B-,C-,C,C+,D,D,C-,C-,B-,B,B,E,C-,C,A,D-,C-,C-,"Healthcare, Science, Music, Programming","Communication, Programming, Problem Solving, Analytical Skills",1
A-,C,B+,A,C-,A,C,A-,D+,D+,D,D-,E,D,B-,C+,A,D,B+,B-,D+,C-,B,C+,C,B+,"Art, Programming, Healthcare","Logical Thinking, Problem Solving",1
C,B-,E,D-,A-,D-,D-,B+,D,B,C-,C+,C-,C-,B,B-,A-,C,B+,A,C-,D+,C,C+,C+,C-,"Art, Debating, Problem Solving","Logical Thinking, Programming, Creativity, Leadership, Analytical Skills",1
A-,B-,D,D+,A,C,A,A,A-,C-,E,D,B-,C+,B+,C,A,C,A,C,D,C,B,C-,B-,D,"Art, Music, Technology, Problem Solving","Manual Dexterity, Logical Thinking, Programming",1
B,D,C-,A,C-,C+,B+,A,E,B-,B,C,C,D,C-,C-,D-,A,C,D,B,D-,D,B+,A,B+,"Healthcare, Debating, Problem Solving","Communication, Logical Thinking, Programming, Teamwork",1
B-,C,A,C-,B,B,B-,B,B,B,E,B-,D,B+,B-,B,E,B,B,E,B,E,E,C,A,A-,"Logical Thinking, Programming","Manual Dexterity, Logical Thinking, Programming",1
B+,E,B+,D,D-,B-,A,A,B+,D-,D-,D+,C,E,D-,B,D,E,C,D-,C+,D-,C+,C-,B+,B-,"Art, Logical Thinking, Management","Logical Thinking, Research, Creativity, Problem Solving, Analytical Skills, Empathy",1
A,E,C-,B-,B+,B,C-,C,B-,C+,C+,D,A,B-,C-,B,B-,D,C,B+,E,E,E,E,A-,D,"Art, Programming","Logical Thinking, Programming, Analytical Skills",1
A,D-,A,C-,D+,A-,C,B+,E,C,B-,C+,D+,E,D-,B,B-,B,C-,C,E,E,D+,B+,D,C+,"Healthcare, Science, Music, Programming","Programming, Logical Thinking, Empathy, Analytical Skills",1
A,B+,C,C,D+,C+,C,A,B-,D,C+,D-,E,D,A,D-,B-,C,D+,D,C-,D,E,E,D,E,"Logical Thinking, Music","Communication, Research, Logical Thinking, Problem Solving",1
A,B-,D+,A,A,B-,D-,A-,D-,C-,D,C-,A-,D+,E,A,D,C,D,C-,C,E,C,D,C,C,"Logical Thinking, Programming","Communication, Logical Thinking, Programming, Leadership",1
B-,B+,A-,C-,E,B-,D-,C+,E,D-,A,D+,E,B,B-,B+,D,C+,D-,E,B+,D+,E,C+,E,B,"Art, Programming, Debating, Sports","Logical Thinking, Programming, Teamwork",1
A-,A,B+,B-,E,B+,C-,A-,B+,C,B+,B-,B+,A,C+,D-,D-,D-,E,D-,A,D,D-,D,B-,D-,"Art, Programming, Debating, Building things","Logical Thinking, Teamwork, Research, Creativity, Problem Solving",1
B+,C,B+,B+,A-,B-,C,D,C+,C,C,C,B+,A,D-,D+,A-,E,D+,C-,B,A-,B-,D-,C,A-,"Programming, Problem Solving","Communication, Logical Thinking, Problem Solving, Teamwork",1
B-,B+,C-,C,D+,E,D-,B+,A-,C,C,D+,C,C,A,D,E,E,C-,C,E,B,B+,D+,D,B-,"Programming, Science","Communication, Logical Thinking, Problem Solving",1
A,C-,A-,B,C-,B-,C,B+,E,D+,E,C,B+,D-,A,D-,C+,D+,D+,D+,C+,A-,C,B+,D-,D,"Logical Thinking, Debating, Building things","Logical Thinking, Problem Solving, Teamwork",1
C+,D-,B+,A,B-,D-,D,B+,B-,A,B-,B+,B,C+,D+,D-,A-,C-,C+,B,B+,B,C+,E,C,B,"Music, Logical Thinking, Healthcare, Technology","Research, Programming, Problem Solving, Teamwork",1
B+,A,C-,E,D,C,E,D+,B-,B,D-,C+,A-,C+,B,C+,E,C,B,D+,D-,A,C-,C,D-,A-,"Art, Logical Thinking","Programming, Creativity, Problem Solving, Manual Dexterity, Communication, Empathy",1
B+,A,D-,D,B-,C-,C,B+,E,D+,C+,A-,C+,A-,C+,A-,B,C+,E,B,B+,C-,D,A-,A,A-,"Art, Programming, Science, Building things","Communication, Manual Dexterity, Programming, Problem Solving",1
B-,B+,B+,B,D,D,D-,A,D,D,B+,D-,C-,C-,B+,D-,B-,C-,B,B,D,D-,B+,A,B+,C+,"Programming, Healthcare","Research, Logical Thinking, Problem Solving",1
C,B,B-,D+,D+,B-,D-,A,C,B-,E,A-,B+,B+,D-,B-,D+,A,D,B-,B,B-,E,E,C-,B+,"Programming, Sports","Programming, Teamwork, Research, Problem Solving, Manual Dexterity, Leadership",1
B,B,B+,B+,C+,D-,B,C,C,B,A-,D+,B+,C,D-,B+,D-,C,A,C+,B,C-,C-,B,D,D-,"Art, Programming, Sports","Logical Thinking, Programming, Creativity, Analytical Skills, Communication",1
D,D-,B-,D-,A,B+,B+,C,D+,C,B,B-,A,D,B,D,D+,B,D-,D,D,D+,B-,D-,A-,C+,"Art, Logical Thinking, Programming","Logical Thinking, Problem Solving, Leadership",1
B,A,A-,C,C+,A-,C+,A-,B-,C,D,D,D+,D,E,C-,D-,C,C,A,A-,E,B,D,D-,D-,"Healthcare, Technology, Problem Solving, Management","Communication, Programming, Problem Solving",1
B,E,D-,B-,B,C,D,B-,C,B+,B-,A-,C-,D+,B-,C,D,D+,B+,C,A-,B,D,B-,B-,B-,"Art, Logical Thinking","Logical Thinking, Programming, Problem Solving",1
A,C,C,C+,D-,B-,D+,A,B+,D,C+,A-,D-,C,C,A,E,D+,C-,D-,A,E,C+,D-,D-,C+,"Management, Logical Thinking, Technology, Building things","Research, Logical Thinking, Problem Solving, Analytical Skills",1
B,D-,B+,C+,C-,E,D,A-,B,B+,C+,A-,B-,E,B,B-,B,A-,D-,D+,E,C+,D+,B+,D-,B,"Logical Thinking, Programming, Technology","Research, Programming, Problem Solving",1
A,D,B+,B,C-,C,D,B+,D-,B-,D-,A-,B-,E,D+,A-,B-,C,A,E,B-,C,D-,A-,D,C-,"Art, Problem Solving","Logical Thinking, Programming, Research, Problem Solving, Communication, Empathy",1
C-,C+,D-,C+,D,C-,B-,D,B-,A,E,D+,D+,B-,B,C-,D+,B-,B+,A,C-,C+,B-,B-,C,B-,"Science, Programming, Technology","Logical Thinking, Programming, Teamwork, Creativity, Problem Solving, Manual Dexterity",1
A,C-,A,A,D-,E,D+,A,C-,D+,D-,A-,B+,C-,B,D-,C,C,E,A-,C,C+,C,A-,E,D+,"Science, Music, Problem Solving","Manual Dexterity, Logical Thinking, Programming",1
B+,A,B,C-,A,A-,D+,B,D,B,A-,C,D,B+,C-,C+,D,D-,B,E,B,C+,A,D+,D-,D+,"Programming, Debating","Logical Thinking, Teamwork, Problem Solving, Manual Dexterity, Leadership, Analytical Skills",1
C,A-,B-,B,C-,A-,E,B+,D-,C,D,B+,D-,A-,B+,B-,A,D-,B,D-,B-,A,B,B-,D-,C+,"Logical Thinking, Technology","Logical Thinking, Empathy, Problem Solving",1
A,E,A,D-,C+,C,E,D+,E,D+,C,D+,C-,D-,A-,D,B,C+,C,D+,A-,D,B,E,C-,D+,"Problem Solving, Sports","Programming, Problem Solving, Analytical Skills, Communication, Empathy",1
B,C-,D,E,B,C-,E,A,A,B,B-,E,D-,D-,C,D,B,D,A,C-,C+,B+,A,D,C-,D-,"Music, Debating, Problem Solving","Logical Thinking, Programming, Teamwork, Manual Dexterity, Empathy",1
C+,C-,B,D-,C+,D,E,B+,C,C-,D-,C,D-,A,D+,A,D-,A-,D-,D-,D+,C,D,C+,E,C,"Art, Music, Problem Solving","Logical Thinking, Programming, Problem Solving, Analytical Skills, Communication",1
B+,B-,B-,A,D-,D+,C+,B-,B+,E,E,C,C,D-,D-,C,D,A,D-,A,D+,D+,A,A,D+,E,"Problem Solving, Sports, Building things","Logical Thinking, Programming, Creativity, Manual Dexterity, Leadership, Empathy",1
B-,A,D+,D,B,A-,C+,B,D,D+,B,A,C-,B-,B-,D,D-,B-,E,A,C-,E,B-,B,B,C,"Programming, Logical Thinking, Music, Building things","Logical Thinking, Programming, Research, Creativity, Problem Solving",1
A-,C-,A-,A-,D+,A,C+,A-,B+,C+,A-,C-,C-,B+,D-,C,A-,B,E,C+,D+,A-,A-,B,E,A,"Programming, Management","Communication, Logical Thinking, Programming, Problem Solving",1
D+,C+,A-,B+,C,B,A-,B+,B,A,D+,B-,B+,D+,D-,D,B-,E,C+,B,D-,B-,D,B-,B-,C,"Programming, Music, Sports, Building things","Logical Thinking, Creativity, Programming",1
A-,E,E,B+,A,B+,D,A-,B,C-,E,A,A,A,C+,B,C,B+,D+,C,D,C-,C-,B,D,B-,"Art, Programming, Music, Management","Programming, Creativity, Problem Solving, Leadership",1
C,A,B,C+,A-,C+,A-,A,B-,C-,C,E,C+,C-,D,A-,B-,D-,E,C-,C,D-,C-,B,C+,E,"Programming, Problem Solving, Technology, Building things","Logical Thinking, Programming, Teamwork, Research, Manual Dexterity",1
A-,C,B-,B-,B,D+,E,A,D,D-,D+,C+,D,C,D+,B+,D+,D,C,C,B-,C,B,E,E,D,"Logical Thinking, Music","Communication, Manual Dexterity, Logical Thinking, Problem Solving",1
B,A,B+,E,C,B-,D,A,B-,C-,E,B,D,A-,C+,E,A-,B+,B+,B-,D-,C-,A-,C,C,D+,"Science, Problem Solving","Programming, Logical Thinking, Empathy",1
B-,D+,C+,C+,D+,B-,D-,A,A-,C+,C+,B-,B,B,D,C,A-,C+,A,A,C+,B+,D-,A-,A-,A,"Problem Solving, Sports","Logical Thinking, Empathy, Teamwork, Problem Solving",1
C+,B-,B-,B,E,D+,C-,B,A,E,A-,B-,B,D+,D,A-,B+,C+,B+,B+,A,A,B,D+,C+,B-,"Healthcare, Programming, Problem Solving, Sports","Logical Thinking, Creativity, Problem Solving, Manual Dexterity, Analytical Skills",1
A-,C-,D+,C+,C,B+,A,A,C,D,E,C,A-,A-,B-,B-,D-,D-,B-,B-,A,D,E,D,C+,C,"Music, Programming, Debating","Programming, Creativity, Problem Solving, Manual Dexterity, Analytical Skills",1
A-,E,B,C+,E,C-,D-,B-,C-,D,D-,C-,C-,C+,A-,D+,B,B-,C-,A-,D+,C-,C+,E,D,B-,"Technology, Problem Solving","Research, Logical Thinking, Problem Solving, Teamwork",1
A-,D-,E,D+,D-,A-,D,C-,A-,D+,B-,D,A-,B+,D-,B,C-,B,D-,E,C-,E,B-,B-,D+,C+,"Art, Logical Thinking","Research, Logical Thinking, Programming, Problem Solving",1
A-,D-,D+,C+,C-,D-,C+,A,E,C-,B,C,C+,B-,A,D-,B,D+,D-,C+,C,B,B-,C+,C,C-,"Logical Thinking, Music, Sports","Research, Logical Thinking, Programming, Teamwork",1
C,B,B,D+,D-,C,C,C+,A-,D-,D+,E,B-,A,D,A-,C,C-,E,B+,A-,B,B+,D+,A-,C-,"Logical Thinking, Management","Programming, Logical Thinking, Empathy",1
D+,C,D+,D-,D+,E,C,B-,B,E,D+,D,B+,A,B,B,C-,A-,D+,E,B-,D+,C-,A,C,B+,"Logical Thinking, Building things","Programming, Logical Thinking, Empathy, Problem Solving",1
C+,E,D-,D,E,B,D,B-,D+,C-,C-,E,D+,E,B+,A-,B,C+,E,D,A-,B-,D-,B-,A,D,"Art, Programming, Science","Communication, Programming, Problem Solving, Leadership",1
A,D,D+,A,A-,B,B+,A,B,B,D+,D,D+,A,B,C,B,B+,C,B-,A-,A,C-,D,C-,D+,"Programming, Management","Manual Dexterity, Logical Thinking, Empathy, Programming",1
A-,D,B,B+,E,B+,C-,B+,A,C+,D-,A-,C,D,A,D,B-,D,C+,C,C+,B-,C-,B-,D-,C,"Problem Solving, Management","Programming, Problem Solving, Analytical Skills",1
B,C,C-,D-,A,B-,C+,C+,D+,B-,C+,D-,E,A,D+,B-,B-,C,D+,D,D,C,D+,D,D,C-,"Programming, Logical Thinking, Technology, Building things","Logical Thinking, Programming, Teamwork",1
A-,D+,C,B+,D-,C+,D+,A,D-,D-,C-,C+,B-,B-,B-,D-,C,D,D-,B,A,D,C-,C,B-,A,"Programming, Building things","Logical Thinking, Programming, Research, Creativity, Problem Solving, Analytical Skills",1
C+,D-,B+,E,A-,B-,E,A,D-,A-,B-,B-,C,D-,B-,E,B+,A-,B,B+,C+,D+,A-,B-,D,C-,"Art, Healthcare, Problem Solving, Sports","Programming, Logical Thinking, Empathy",1
B+,D-,D,A-,A,B,E,D+,E,D+,B-,E,C+,C,D-,A-,D+,B+,B,E,A,A,D+,B,B,D-,"Programming, Problem Solving, Technology","Logical Thinking, Creativity, Problem Solving, Teamwork",1
B-,A-,D+,D-,C-,D,D,A-,D-,C,A-,D,C-,C-,A-,B,D-,D+,D-,B+,D-,B+,E,D+,C-,D,"Logical Thinking, Management","Research, Manual Dexterity, Logical Thinking, Programming",1
A,B,B-,C-,A,A-,D-,A-,B,B-,B+,B+,C-,A-,B-,B,C+,C,A-,D,D-,B,B,E,D,B-,"Art, Programming, Sports, Management","Logical Thinking, Programming, Analytical Skills",1
D+,D,B-,C+,C,C+,C+,C,A,B,C-,C+,E,A,B+,C+,E,E,C+,D+,C,D+,C+,B-,E,E,"Art, Logical Thinking, Technology, Debating","Logical Thinking, Problem Solving, Manual Dexterity, Analytical Skills, Empathy",1
A-,B+,A-,C-,D,D,B-,A-,D,B+,D+,D,E,A,C+,C-,B,D+,E,D-,D+,D-,B,C,B-,A,"Programming, Healthcare, Problem Solving, Sports","Logical Thinking, Problem Solving, Analytical Skills, Teamwork",1
B+,C+,B,C,D,E,D-,B,C-,A,C,D,B-,B,A-,B-,D-,A,D+,B-,D+,D,D-,A,B-,B+,"Programming, Technology","Logical Thinking, Programming, Leadership, Analytical Skills",1
B,D-,B+,C-,E,B-,A-,B+,B,B,C-,B,A,C+,D-,C-,C+,C+,B,B,D+,B-,B,D-,C-,B-,"Programming, Healthcare","Logical Thinking, Teamwork, Problem Solving, Manual Dexterity, Empathy",1
B-,A-,C-,E,B,D-,C+,B+,B+,C,B+,A-,B+,A-,B-,D,D+,D,B-,D+,B+,B-,D-,B+,D-,A,"Technology, Logical Thinking, Programming, Sports","Logical Thinking, Problem Solving, Manual Dexterity, Leadership, Analytical Skills, Empathy",1
C-,A,D,B,E,B+,D-,B,A,D+,C,D+,A,C,B,D-,A,D,A-,E,A,D-,E,C+,D,C,"Healthcare, Programming, Sports","Programming, Research, Problem Solving, Leadership, Analytical Skills, Communication",1
D,A,D-,B+,B-,A-,D-,B+,C,B,B+,B,C+,A,B,D+,D+,D-,E,C,D,B+,A-,D-,D-,B-,"Logical Thinking, Healthcare, Building things","Logical Thinking, Problem Solving, Manual Dexterity, Leadership, Empathy",1
D+,C+,E,B-,E,C+,C,A,B+,C-,C,C,E,D-,A,A-,C-,B-,D,B,A-,D+,A,A,B-,B+,"Art, Logical Thinking, Management","Communication, Leadership, Logical Thinking, Problem Solving",1
B+,A,A-,B-,B-,A-,C-,B+,D,B+,D+,D,C,D+,D,D,B,C+,E,C,C+,C-,B+,C-,D,B-,"Art, Problem Solving, Building things","Logical Thinking, Programming, Creativity, Problem Solving, Leadership, Analytical Skills",1
A,C,E,C-,B,D,C,B+,E,A,B-,B,B+,B+,C-,C+,C,A,A,E,D+,C-,B+,A,D-,D,"Logical Thinking, Science, Sports","Communication, Logical Thinking, Creativity, Programming",1
B,D-,B+,C+,D+,A-,B-,B-,B+,D+,B-,A,A,D,A,D+,E,D-,C,E,E,E,C+,C-,E,A-,"Art, Music, Problem Solving","Programming, Teamwork, Creativity, Problem Solving, Analytical Skills",1
A,B-,D,A,D+,B-,C-,B-,B+,A-,B+,D-,C,C-,A,C-,E,D+,B-,D,A-,B,B-,C,D,D,"Programming, Healthcare","Communication, Logical Thinking, Problem Solving",1
A-,B,C+,D,D+,B,A,A-,A,A-,D-,A-,D-,A,D+,C,B,A,C,D-,D-,B,D+,C,A-,C,"Logical Thinking, Technology","Communication, Programming, Problem Solving, Teamwork",1
A-,A,B+,C-,C,A,D+,A-,B,A,B+,B+,B-,E,D+,D+,C-,D+,B-,B+,D,E,B+,C,E,B-,"Programming, Debating","Programming, Teamwork, Creativity, Problem Solving, Manual Dexterity, Empathy",1
B,D+,E,C+,B+,D-,D,A-,C+,C,C-,B-,B-,C-,C,D+,C-,B-,D+,A-,C-,B-,D,B+,C,D,"Programming, Music, Sports","Programming, Teamwork, Problem Solving, Manual Dexterity, Communication",1
A-,A,D-,C,D-,D-,B,C-,D-,D+,D+,D,C,E,C-,E,C,C,D+,C-,B+,A-,C-,D+,A-,B+,"Science, Technology, Problem Solving","Logical Thinking, Programming, Creativity, Problem Solving",1
A,B-,A-,D,D-,D-,C,D+,D+,D+,D,A,A,C-,E,A-,C+,E,D+,C-,C,C-,A-,C+,C-,B+,"Art, Logical Thinking","Research, Logical Thinking, Problem Solving",1
D+,D-,C+,E,E,B-,A,D+,D-,B,E,C,B,B-,D+,B+,D+,C-,D-,C+,C,C,C,B,D,D-,"Logical Thinking, Sports","Programming, Teamwork, Problem Solving, Manual Dexterity, Analytical Skills",1
A-,D-,B+,E,C+,A-,C+,B,B+,B-,C,B-,B,A,C+,B+,B+,D,E,D,C,A-,C+,B,C,D,"Healthcare, Technology, Problem Solving, Sports","Programming, Leadership, Analytical Skills, Problem Solving",1
B+,C,D+,C+,D+,D+,B+,A-,B,A,D,D,B+,B-,D,D,D,B+,B-,B,C,B-,C,A,D,C-,"Logical Thinking, Healthcare, Management","Logical Thinking, Teamwork, Creativity, Problem Solving, Leadership",1
B+,C+,A,A,A,C,A-,D,D+,A,C+,D,B,B-,C-,D-,A,D-,E,A-,B-,B,A-,C+,D+,D-,"Problem Solving, Sports","Logical Thinking, Creativity, Problem Solving, Leadership, Analytical Skills",1
B+,D+,B,D-,D+,B+,C,C,C-,C-,B,B+,A,A,D+,B+,A-,A,C+,C,E,C,D-,B,C,A,"Music, Logical Thinking, Science, Debating","Manual Dexterity, Logical Thinking, Problem Solving",1
D+,C+,C,C+,D-,D-,D-,B-,B-,D,D-,B-,C-,B+,B-,C+,B-,C+,C+,D-,B+,D,E,B-,A,B+,"Logical Thinking, Debating","Logical Thinking, Problem Solving, Teamwork",1
A-,D-,D+,A,C+,C+,B,B,B,C+,A,D-,B+,C+,C+,E,A,C+,B,B+,B,C-,D+,B-,D,D,"Programming, Problem Solving, Building things","Research, Programming, Logical Thinking, Empathy",1
B,D+,B,A,D,C,E,B+,D-,C+,C-,D,B-,C-,E,D+,D-,A-,B-,B,A,D,C+,B+,D-,B,"Healthcare, Problem Solving, Technology, Management","Research, Logical Thinking, Programming",1
A-,B+,D+,D-,D,E,D-,C+,D-,B+,C-,E,B-,B,B,C,C+,D-,C-,D,A,E,A-,C-,D,A,"Programming, Science, Problem Solving, Sports","Programming, Problem Solving, Analytical Skills, Communication, Empathy",1
A-,D-,B,D,A,C-,A-,A,B+,C-,A-,A,B+,D-,C,E,B-,E,D-,E,C-,B+,C-,C-,C,A-,"Technology, Problem Solving","Logical Thinking, Programming, Research, Problem Solving, Leadership",1
A,B+,C+,B-,A,B+,A-,B+,C,A-,A-,E,C,A,C-,D,A,D-,D+,B+,B+,A,B-,B-,D+,B+,"Programming, Building things","Logical Thinking, Programming",1
C-,B+,C+,E,B+,A-,A,B-,A-,B-,D+,E,B,A-,D+,A-,B+,E,B-,D-,B-,D,B+,B+,C-,C-,"Logical Thinking, Music, Sports","Programming, Research, Creativity, Problem Solving, Manual Dexterity",1
A-,C+,B-,B,C+,A-,B+,A,A-,A-,D-,B+,C,D+,B+,A-,E,C,C-,D+,B,D,D+,B+,D,E,"Art, Programming","Logical Thinking, Programming, Research, Creativity, Leadership, Empathy",1
D+,A-,A,B+,A-,C-,D+,B-,D,A,C+,A-,A,D+,C-,B+,B+,C,D-,D-,B-,D,B+,A-,B+,B,"Art, Programming","Logical Thinking, Programming, Teamwork, Communication, Empathy",1
A,B,B+,C-,D+,C-,A,B+,C,B,C+,D-,E,B,D+,A-,D-,B+,D-,D+,C-,D+,C-,D,C+,B+,"Art, Programming, Management","Communication, Creativity, Programming, Problem Solving",1
B,B-,D,A-,C-,A-,D-,A,B-,D,C+,C,B,A-,C,A,A-,B-,B+,A-,B+,D-,C-,C,A,B,"Programming, Problem Solving, Sports","Logical Thinking, Problem Solving, Leadership",1
A-,A,B+,C+,A,D-,E,D,B-,C,D,C,B,E,A,B,A-,D-,E,C,B,D+,D,B-,A-,C-,"Programming, Healthcare, Technology","Programming, Teamwork, Problem Solving",1
B-,B+,E,A-,C,C+,D,A-,C-,D+,D,E,C,B-,B,C-,A-,C,C,B,E,B-,C-,A-,B-,B-,"Art, Science, Problem Solving, Building things","Logical Thinking, Research, Creativity, Problem Solving, Communication",1
D,A,C,D+,D,A,D-,A,A,A,C-,B,B-,B,B,C+,B+,B-,D-,C+,C,D-,B-,B,B-,A,"Programming, Healthcare, Technology, Management","Logical Thinking, Teamwork, Research, Problem Solving, Analytical Skills",1
C-,B-,B-,C+,A-,A-,A,C+,C-,D+,C,C,D+,D-,A-,D,D+,D,D-,D-,C+,A,C-,C,C-,A,"Programming, Technology","Manual Dexterity, Logical Thinking, Programming",1
C-,A,B,D+,D+,C,B+,B-,D,B,C+,A,A-,C,C-,D-,D+,B+,E,A-,B+,D-,C-,B-,B,D-,"Logical Thinking, Building things, Management","Logical Thinking, Creativity, Problem Solving",1
B-,E,D+,C-,D+,C-,B,B+,C+,A,D-,C+,D-,B,D-,D-,C,D+,A,B+,D+,C-,C,A,D+,D,"Science, Healthcare, Programming, Building things","Logical Thinking, Creativity, Problem Solving, Analytical Skills, Communication",1
B,A-,D+,B,C,B-,D+,B,C,A,A-,D,B,C-,A,B-,B-,E,A,D,D-,A,C-,A-,A-,A-,"Logical Thinking, Music, Technology, Management","Research, Logical Thinking, Problem Solving, Teamwork",1
B,A-,B,A-,B+,B-,C+,A,D+,D-,D,D+,C-,D,C+,B,D+,E,B+,B+,B+,C+,A-,C,C,A-,"Art, Music, Problem Solving","Logical Thinking, Creativity, Problem Solving, Analytical Skills",1
B+,C-,D+,C-,D,E,E,A,D+,B,B-,D+,B-,B+,A-,A,C,C+,C+,D-,D+,B,C+,C-,C,A,"Logical Thinking, Management","Communication, Logical Thinking, Problem Solving, Analytical Skills",1
D,A-,D+,D-,B,B,D+,C+,D+,B-,A-,A,E,B-,C-,A-,A,D,C,D-,E,B,D,C-,D-,C+,"Programming, Science","Logical Thinking, Programming, Problem Solving",1
A-,C-,B,C+,C+,C-,E,A,B,A,C,B-,B,E,B,D+,B+,E,A-,A,B,B+,B+,B-,D-,B+,"Science, Building things, Problem Solving, Management","Manual Dexterity, Logical Thinking, Problem Solving",1
A-,D+,B-,A,B-,A-,D-,C-,B+,C,D,A,C,B-,E,A,C+,D,E,B-,E,D,D,C-,D+,C+,"Healthcare, Programming, Debating","Logical Thinking, Teamwork, Creativity, Problem Solving, Leadership, Analytical Skills",1
B,A,C,B,D,E,D-,A-,B-,A,E,C-,C,A,D+,A-,A-,C-,B-,C+,C-,B+,A-,E,C-,D+,"Art, Problem Solving","Programming, Problem Solving",1
B+,D,C-,D+,A,C+,C-,A-,E,B,A,D+,E,D,A,C,C,B+,A,C-,B+,A,A-,A-,B+,D-,"Art, Problem Solving","Logical Thinking, Problem Solving, Teamwork",1
A,D+,D-,B-,B+,A-,C,C-,D+,C+,C+,B-,C-,D+,C+,B,B,E,C+,B,A-,A,C,C+,D+,E,"Science, Problem Solving","Creativity, Programming, Problem Solving",1
B,D-,E,B,A,D+,A,B,C-,B-,E,A-,A,C-,C+,A,A,C+,B,D-,D,C-,D+,B-,D-,D+,"Problem Solving, Management","Logical Thinking, Problem Solving, Teamwork",1
A,C-,A,D+,D+,A,B+,C+,B,B+,E,D+,B-,D,B,D+,A-,C,D-,D+,B-,B+,A,B-,B,D-,"Logical Thinking, Technology","Logical Thinking, Programming, Teamwork, Creativity, Problem Solving, Analytical Skills",1
C+,D+,B+,D+,C-,B+,D,C,C-,C,C+,A-,B,C+,D-,D-,C,C,C,C+,B-,A-,A-,B-,D+,B-,"Programming, Technology","Research, Programming, Problem Solving",1
C,E,A-,D,A-,A,B,A-,D-,B-,B-,C+,C,C,D-,B-,A,C-,E,B-,D,C,D-,B,A,A-,"Debating, Problem Solving, Technology","Logical Thinking, Programming, Problem Solving, Manual Dexterity, Empathy",1
C+,C,D-,C,C-,D,B,D,B-,A-,E,D+,B,A-,C-,D,B+,C+,D+,C+,D,D-,C,B-,B+,D-,"Technology, Problem Solving, Sports","Programming, Problem Solving, Leadership, Teamwork",1
B-,E,B-,D+,C,C-,B-,B-,E,D-,D-,B,E,D,D,E,C-,C,B+,D-,C,D+,B,D,C,B,"Debating, Problem Solving","Research, Logical Thinking, Problem Solving",1
A-,B,C,C,B,D,D-,B,D-,C,E,E,C,C+,D+,E,C+,B+,D,E,D+,B,A-,D,B-,D,"Programming, Building things","Programming, Creativity, Problem Solving, Manual Dexterity, Analytical Skills",1
B+,B,B,B,C-,D-,B-,A-,D-,D-,D+,E,D-,B-,D,D-,B-,A,D,C,A-,B,D+,A-,B-,D-,"Science, Logical Thinking, Healthcare","Logical Thinking, Creativity, Problem Solving",1
A-,B+,C,B,C+,D-,B-,A,B-,A-,B-,C,C+,D-,A-,D-,A,D+,D+,A,A,B,B,D,A,E,"Music, Technology, Programming","Manual Dexterity, Logical Thinking, Problem Solving",1
A,A,D,B,C-,D,B,A,C-,C+,D,E,C,D+,B-,A-,B-,B-,E,C-,C-,E,C-,D+,B-,A,"Programming, Healthcare, Debating, Problem Solving","Manual Dexterity, Logical Thinking, Problem Solving, Teamwork",1
C,D-,D,A-,D+,D+,D,C,D-,C+,B-,D-,A-,D,A-,D+,B+,B-,D,D-,D+,B,B,B,C+,A-,"Art, Music, Problem Solving","Communication, Manual Dexterity, Programming, Problem Solving",1
D,B+,B-,B,A-,D+,A-,B,A-,C-,C+,E,B-,D,A,D+,D+,D-,B-,A,D+,B-,B-,D,C-,B,"Science, Logical Thinking, Programming, Building things","Logical Thinking, Teamwork, Problem Solving, Leadership, Analytical Skills",1
